datetime,tokyo_price
2019-10-20,8.670119047619048
2019-10-27,8.810119047619047
2019-11-03,8.263184523809523
2019-11-10,7.704880952380953
2019-11-17,8.451845238095238
2019-11-24,9.05845238095238
2019-12-01,11.555
2019-12-08,9.380744047619046
2019-12-15,8.390773809523811
2019-12-22,8.954166666666666
2019-12-29,8.577976190476189
2020-01-05,6.734880952380952
2020-01-12,8.457202380952381
2020-01-19,8.35514880952381
2020-01-26,8.439345238095237
2020-02-02,8.177261904761904
2020-02-09,8.403005952380951
2020-02-16,7.453452380952381
2020-02-23,7.024583333333334
2020-03-01,7.574642857142857
2020-03-08,8.17110119047619
2020-03-15,7.4922023809523814
2020-03-22,7.011220238095238
2020-03-29,7.184464285714286
2020-04-05,8.020208333333334
